,user,movie,rating
0,195.0,241.0,3.0
1,185.0,301.0,3.0
2,21.0,376.0,1.0
3,243.0,50.0,2.0
4,165.0,345.0,1.0
5,297.0,473.0,4.0
6,114.0,264.0,2.0
7,252.0,464.0,5.0
8,304.0,450.0,3.0
9,5.0,85.0,3.0
10,61.0,256.0,2.0
11,285.0,1013.0,5.0
12,199.0,221.0,5.0
13,209.0,39.0,3.0
14,223.0,28.0,3.0
15,302.0,784.0,3.0
16,121.0,386.0,5.0
17,193.0,273.0,2.0
18,290.0,1041.0,4.0
19,233.0,1183.0,2.0
20,118.0,391.0,4.0
21,166.0,485.0,4.0
22,298.0,143.0,4.0
23,290.0,117.0,2.0
24,307.0,0.0,4.0
25,94.0,545.0,2.0
26,37.0,94.0,5.0
27,101.0,767.0,2.0
28,62.0,276.0,4.0
29,159.0,233.0,5.0
30,49.0,245.0,3.0
31,300.0,97.0,4.0
32,224.0,192.0,4.0
33,289.0,87.0,4.0
34,96.0,193.0,3.0
35,156.0,273.0,4.0
36,180.0,1080.0,1.0
37,277.0,602.0,5.0
38,275.0,795.0,1.0
39,6.0,31.0,4.0
40,9.0,15.0,4.0
41,283.0,303.0,4.0
42,200.0,978.0,2.0
43,275.0,563.0,3.0
44,286.0,326.0,5.0
45,245.0,200.0,5.0
46,241.0,1136.0,5.0
47,248.0,240.0,5.0
48,98.0,3.0,5.0
49,177.0,331.0,3.0
50,250.0,99.0,4.0
51,80.0,431.0,2.0
52,259.0,321.0,4.0
53,24.0,180.0,5.0
54,58.0,195.0,5.0
55,71.0,678.0,2.0
56,86.0,383.0,4.0
57,289.0,142.0,5.0
58,41.0,422.0,5.0
59,291.0,514.0,4.0
60,114.0,19.0,3.0
61,19.0,287.0,1.0
62,200.0,218.0,4.0
63,12.0,525.0,3.0
64,245.0,918.0,4.0
65,137.0,25.0,5.0
66,166.0,231.0,1.0
67,59.0,426.0,5.0
68,56.0,303.0,5.0
69,222.0,273.0,4.0
70,188.0,511.0,4.0
71,242.0,14.0,3.0
72,91.0,1048.0,1.0
73,245.0,415.0,3.0
74,193.0,164.0,4.0
75,240.0,689.0,2.0
76,177.0,247.0,4.0
77,253.0,1443.0,3.0
78,292.0,4.0,3.0
79,126.0,228.0,5.0
80,224.0,236.0,5.0
81,298.0,228.0,3.0
82,224.0,479.0,5.0
83,275.0,53.0,3.0
84,290.0,143.0,5.0
85,221.0,365.0,4.0
86,266.0,517.0,5.0
87,41.0,402.0,3.0
88,10.0,110.0,4.0
89,94.0,624.0,4.0
90,7.0,337.0,4.0
91,161.0,24.0,4.0
92,86.0,1015.0,4.0
93,278.0,153.0,5.0
94,144.0,274.0,2.0
95,118.0,1152.0,5.0
96,61.0,497.0,4.0
97,61.0,381.0,3.0
98,27.0,208.0,4.0
99,134.0,22.0,4.0
100,31.0,293.0,3.0
101,89.0,381.0,5.0
102,285.0,207.0,4.0
103,292.0,684.0,3.0
104,215.0,143.0,4.0
105,165.0,327.0,5.0
106,249.0,495.0,4.0
107,270.0,131.0,5.0
108,159.0,173.0,5.0
109,264.0,117.0,4.0
110,197.0,497.0,3.0
111,41.0,95.0,5.0
112,167.0,150.0,5.0
113,109.0,306.0,4.0
114,57.0,143.0,4.0
115,89.0,647.0,4.0
116,270.0,345.0,4.0
117,61.0,20.0,3.0
118,278.0,831.0,3.0
119,236.0,513.0,4.0
120,93.0,788.0,4.0
121,127.0,484.0,3.0
122,297.0,316.0,4.0
123,43.0,194.0,5.0
124,263.0,199.0,5.0
125,193.0,384.0,2.0
126,71.0,194.0,5.0
127,221.0,749.0,5.0
128,249.0,263.0,3.0
129,40.0,264.0,3.0
130,223.0,244.0,3.0
131,81.0,134.0,3.0
132,261.0,1146.0,4.0
133,292.0,470.0,3.0
